joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
3.12706,297.10496,288.76571,307.39095
3.13589,297.70269,288.99036,306.31678
3.1445,298.03516,289.14742,302.41425
3.15368,299.07765,290.69163,297.42738
3.16246,299.60966,290.87832,306.40895
3.17197,301.05574,292.96798,300.42285
3.18096,301.85094,293.32066,314.18167
3.18935,301.90996,292.87737,296.58835
3.19871,303.17547,294.9892,309.18942
3.20821,304.59452,296.52426,315.6875
3.21778,306.11148,298.11871,310.63037
3.22718,307.42034,299.29261,313.07633
3.23671,308.87636,300.86025,318.66054
3.24612,310.19447,302.0921,313.69618
3.25572,311.74858,303.81952,316.49618
3.26471,312.54851,304.10526,339.24396
3.27427,314.05084,306.10441,319.91483
3.28332,314.91847,306.54081,316.99749
3.29276,316.27573,308.24715,319.73853
3.30208,317.48572,309.3643,324.20569
3.31151,318.8248,310.80237,323.16028
3.32098,320.22081,312.24734,344.75968
3.33049,321.66026,313.72643,332.53276
3.33914,322.0406,313.38071,335.49073
3.34792,322.58398,314.04597,348.24503
3.35729,323.84888,315.82076,331.24293
3.36637,324.75437,316.48601,340.01907
3.37564,325.9016,317.81021,329.76793
3.3846,326.66678,318.31931,326.31465
3.39374,327.65211,319.46652,329.4061
3.40268,328.38731,320.03713,327.8907
3.41146,328.9254,320.44726,329.03298
3.42028,329.51805,321.08658,328.31155
3.42987,331.05897,323.29491,342.21008
3.43917,332.23609,324.22896,354.8698
3.44845,333.39274,325.38069,348.10368
3.45774,334.56929,326.58033,347.20288
3.46691,335.58881,327.50009,349.46916
3.47629,336.86627,328.96587,357.38261
3.48535,337.75745,329.59814,341.72683
3.4938,337.88334,329.20159,335.99036
3.50277,338.66597,330.44877,352.49057
3.51225,340.06742,332.28899,354.44399
3.52159,341.29821,333.41073,350.40401
3.53082,342.3866,334.40958,350.23407
3.54031,343.80862,336.07252,354.41505
3.54943,344.76771,336.71959,361.52972
3.55812,345.19929,336.79392,364.55023
3.56763,346.63655,338.93835,368.07879
3.57666,347.48829,339.39293,352.86853
3.58588,348.57236,340.64739,352.97644
3.5951,349.65915,341.74529,372.90145
3.60449,350.94308,343.17537,366.70742
3.61338,351.62667,343.45138,374.53164
3.6223,352.34099,344.19595,351.5439
3.63138,353.24743,345.24474,383.08613
3.64019,353.831,345.61313,354.066
3.64946,354.97624,347.15728,364.20329
3.6583,355.59008,347.41133,354.62603
3.66733,356.43613,348.4275,386.49881
3.67655,357.51366,349.67482,378.94563
3.68582,358.66502,350.88667,375.99116
3.69491,359.58475,351.65481,388.17958
3.70358,359.99028,351.7123,363.81898
